Id,label,Count,Fname,Mname,Lname
1712,Evelyn Torton Beck,2,Evelyn,Torton,Beck
67,Adam H. Becker,1,Adam,H.,Becker
1707,Jacob Leib Becker,2,Jacob,Leib,Becker
3202,Bob Becking,1,Bob,,Becking
731,Roger Beckwith,2,Roger,,Beckwith
2640,Moshe Beer,1,Moshe,,Beer
1835,Meshulam Behr,2,Meshulam,,Behr
363,Haim Beinart,2,Haim,,Beinart
1148,Benayahu Yosef Beiri,2,Benayahu,Yosef,Beiri
978,Piers Beirne,2,Piers,,Beirne
1068,Malachi Beit-Arie,2,Malachi,,Beit-Arie
1068,Malachi Beit-Aryeh,1,Malachi,,Beit-Aryeh
2512,Philip Beitchman,1,Philip,,Beitchman
3182,Istvan Bejczy,1,Istvan,,Bejczy
2400,Samuel Belkin,1,Samuel,,Belkin
1444,David Bell,2,David,,Bell
246,Dean Phillip Bell,2,Dean,Phillip,Bell
1290,Mara Beller,2,Mara,,Beller
501,Julius Beloch,2,Julius,,Beloch
195,Julia Watts Belser,1,Julia,Watts,Belser
3200,Zafrira Ben-Barak,1,Zafrira,,Ben-Barak
3565,Israel Hayyim Ben-David,1,Israel,Hayyim,Ben-David
1118,Nitza Ben-Dov,2,Nitza,,Ben-Dov
2013,Uri Ben-Eliezer,2,Uri,,Ben-Eliezer
3541,David Ben-Gurion,1,David,,Ben-Gurion
3205,Avraham Ben-Jacob,1,Avraham,,Ben-Jacob
392,Hanina Ben-Menahem,2,Hanina,,Ben-Menahem
1258,Yoram Ben-Porat,2,Yoram,,Ben-Porat
2715,Haim Hillel Ben-Sasson,1,Haim,Hillel,Ben-Sasson
1434,Menachem Ben-Sasson,2,Menachem,,Ben-Sasson
1201,Israel Ben-Shalom,2,Israel,,Ben-Shalom
1471,Ram Ben-Shalom,3,Ram,,Ben-Shalom
3148,Haggai Ben-Shammai,1,Haggai,,Ben-Shammai
3258,Joseph Ben-Shlomo,1,Joseph,,Ben-Shlomo
3586,Izhak Ben-Zvi,1,Izhak,,Ben-Zvi
866,Yosef Benaim,2,Yosef,,Benaim
164,Jonatan Benarroch,2,Jonatan,,Benarroch
164,Jonatan M. Benarroch,1,Jonatan,M.,Benarroch
2070,Meir Benayahu,2,Meir,,Benayahu
3441,Aba Bendavid,1,Aba,,Bendavid
1597,Zvi Ben-Dor Benite,2,Zvi,Ben-Dor,Benite
532,Sandra Benjamin,2,Sandra,,Benjamin
222,Moti Benmelech,2,Moti,,Benmelech
1543,John Bennet,2,John,,Bennet
3513,Moshe Benovitz,1,Moshe,,Benovitz
1163,David Benveniste,2,David,,Benveniste
3110,Joshua Benvenisti,1,Joshua,,Benvenisti
2558,Gino Benzoni,1,Gino,,Benzoni
703,Abraham Berger,2,Abraham,,Berger
2833,Adolf Berger,1,Adolf,,Berger
1848,Arthur Asa Berger,2,Arthur,Asa,Berger
216,David Berger,2,David,,Berger
2249,Maurice Berger,1,Maurice,,Berger
199,Yitzhak Berger,1,Yitzhak,,Berger
142,Jay R. Berkovitz,1,Jay,R.,Berkovitz
1887,Joel Berkowitz,2,Joel,,Berkowitz
1719,Adele Berlin,2,Adele,,Berlin
3568,Charles Berlin,1,Charles,,Berlin
